,Unnamed: 0,word,start,end,duration,file,isPronoun,isPlural,isPreceding,isManner,isIntermediate,er,Annotation,Transformation,Comments,isReferent,isModifier,isAfterNoun,first_occur,referent,isTooLong,transOrd,Notsure,wordOrder,Comment,LongRef,code,story,part,condition,count,wordID
36,36,hij,122.48,122.5399773,0.059977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,330,,,6,3,1,pronoun,37,5
37,37,Hij,125.26,125.3299773,0.069977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,335,,,6,3,1,pronoun,38,5
38,38,hem,127.18,127.3199773,0.139977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,344,,,6,3,1,pronoun,39,10
39,39,hij,128.41,128.4899773,0.079977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,347,,,6,3,1,pronoun,40,5
40,40,ik,130.12,130.1999546,0.079954649,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,350,,,6,3,1,pronoun,41,4
41,41,hij,135.7649887,135.834966,0.069977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,360,,,6,3,1,pronoun,42,5
42,42,zijn,137.2549887,137.374966,0.119977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,367,,,6,3,1,pronoun,43,8
43,43,mijn,143.5249887,143.704966,0.179977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,380,,,6,3,1,pronoun,44,7
44,44,hij,145.6149887,145.864966,0.249977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,387,,,6,3,1,pronoun,45,5
45,45,het,149.0349887,149.104966,0.069977324,20G1 ,1,,,,,,het eten,,,,,,,,,,,398,,,7,3,1,pronoun,46,6
46,46,hij,150.4649887,150.524966,0.059977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,402,,,6,3,1,pronoun,47,5
47,47,hij,152.4949887,152.594966,0.099977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,409,,,6,3,1,pronoun,48,5
48,48,hij,156.3849887,156.484966,0.099977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,413,,,6,3,1,pronoun,49,5
49,49,hij,157.1549887,157.434966,0.279977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,417,,,6,3,1,pronoun,50,5
50,50,hij,163.1149887,163.174966,0.059977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,435,,,6,3,1,pronoun,51,5
51,51,het,163.5549887,163.624966,0.069977324,20G1 ,1,,,,,,mooie tafellakentje,,,,,,,,,,,437,,,8,3,1,pronoun,52,6
